Tweet_count,Username,Text,Created At,Retweets,Likes
44,Equipe de France ⭐⭐,"💡 La 𝑽𝒊𝒍𝒍𝒆 𝒅𝒆𝒔 𝑳𝒖𝒎𝒊𝒆̀𝒓𝒆𝒔 s’illumine pour offrir un spectacle passionnant ⚽️✨

🇫🇷🇩🇪 RDV à 21h00 sur TF1 📽️

#FRAALL | #FiersdetreBleus https://t.co/nO2fpHVbqQ",Sat Mar 23 07:18:49 +0000 2024,456,4335
45,Dreamchaser✨,"Les français, aujourd’hui, le 30 mai 2024, je pense que vous avez enfin compris, vous l’avez vu de vos propres yeux. Vous ne pouvez plus nier sur qui dirige la France !",Thu May 30 19:05:02 +0000 2024,9,29
46,Dragon Ball Super,"Prochain rendez-vous à ne pas manquer pour Dragon Ball Sparking! ZERO, le 7 juin lors du Summer Game Fest 2024. https://t.co/YjbvUkEXH6",Thu May 30 16:30:49 +0000 2024,16,150
47,Netflix France,Tous les films Netflix nommés aux Oscars 2024 : un thread 🧵,Sun Mar 10 15:00:00 +0000 2024,42,608
48,Classic Football Shirts,"🚨 Shirt Alert 🚨 

France 2024 Home &amp; Away 🇫🇷 

France get two 80’s inspired designs with that pin-striped away shirt being the pick of the two 😮‍💨

The oversized crest makes a return from that decade as well. https://t.co/vHHVx5EHc1",Mon Mar 18 09:16:28 +0000 2024,81,1026
49,VolleyActu,"Les Français convoqués pour représenter la FRANCE 🇫🇷 lors de la #VNL2024

#EquipeDeFrance https://t.co/04zPrbAtpZ",Wed Apr 24 09:20:07 +0000 2024,107,277
50,Equipe de France ⭐⭐,"𝗝𝗢𝗨𝗥 𝗗𝗘 𝗟𝗜𝗦𝗧𝗘 📝

Qui a hâte d’être à ce soir pour découvrir 𝐋𝐀 𝐋𝐈𝐒𝐓𝐄 de l’@EURO2024 ? ⏳

⏰ RDV au 20 heures de TF1 

#FiersdetreBleus | #EURO2024 https://t.co/zq0AdmBWz0",Thu May 16 07:09:04 +0000 2024,359,3276
51,𝙸𝚛𝚛𝚎́𝚜𝚒𝚜𝚝𝚒𝚋𝚕𝚎𝚜 𝙵𝚛𝚊𝚗𝚌̧𝚊𝚒𝚜 ⭐️⭐️,Les #Bleus affronteront l'Italie 🇮🇹 en Ligue des Nations le vendredi 6 septembre 2024 au Parc des Princes ! https://t.co/U6muwavetE,Thu Apr 25 17:53:23 +0000 2024,54,399
52,Netflix France,"Tout doux le loup…

Beastars, saison finale, partie 1 en 2024. https://t.co/VWaRiM32hL",Sat Mar 23 02:54:01 +0000 2024,140,1164
53,IGN France,"Pour le plaisir, on se remet le trailer de Silent Hill 2 !

Ça sort le 8 octobre 2024. https://t.co/0RyDWtQPhU",Thu May 30 22:42:39 +0000 2024,2,6
