Tweet_count,Username,Text,Created At,Retweets,Likes
59,La Minute Ricardo,"L’impôt en France: pourquoi c’est un braquage à main armée? 
Explication détaillée de Richard Boutry pour sa minute de Ricardo, auteur du livre « le grand virage 2027 »
#taxe #impôt #vol #gouvernement #macron #ministre https://t.co/k4AymjtkZh",Tue Sep 10 14:20:11 +0000 2024,449,765
60,France Rugby,"🎁 En fait, ce n’était pas la dernière danse.
Il en restait une, 𝐧𝐨𝐭𝐫𝐞 𝐝𝐞𝐫𝐧𝐢𝐞̀𝐫𝐞 𝐬𝐮𝐫𝐩𝐫𝐢𝐬𝐞. ❤️

Merci les garçons. Pour tout 🇫🇷🥇
#ParadeDesChampions #France7 #Paris2024 https://t.co/TTeO29kk13",Sat Sep 14 20:44:03 +0000 2024,507,4725
61,AlertesInfos,"🍭🇫🇷 Insolite : un homme, se sentant coupable après avoir volé des bonbons dans un bar-tabac d’Uzès lorsqu’il était enfant, a tenté de se faire pardonner avec une lettre d’excuses accompagnée de 50€ de dédommagement. (France Bleu) https://t.co/JW0KUqKHcJ",Sat Sep 14 21:29:13 +0000 2024,1774,33277
62,Halte à la Connerie,"Le buzz autour d'Elias d'Imzalène, qui appelle à l'intifada en France depuis une manif LFI, a un mérite : attirer l'attention sur sa définition de  l'islamophobie : entrave à un projet politique. Et pas haine des personnes. Ça pourrait être du Charb
https://t.co/RBdGP889O7",Mon Sep 09 20:55:43 +0000 2024,449,1256
63,Patricio Andolini 🇨🇵🇮🇹 🇮🇱 ⚡️PFM Soutien FDO⚡,Cette belle jeunesse de Lyon  si chère à la France Insoumise  . Mettez bien le son pour profiter de l ambiance  . https://t.co/Z1TRflEVOB,Tue Sep 10 07:55:56 +0000 2024,134,218
64,Karim Maloum,"La #Franceinsoumise est devenue une antenne, une succursale du #Hamas en France.
 https://t.co/jzuxm7RxAb",Sun Sep 08 18:34:01 +0000 2024,888,2422
65,INVASION FRANCE INFO,"🚨🇫🇷Un migrant nord-africain, qui doit avoir un compte de livreur #UberEats  sous un autre nom, donc illégal, se permet de faire une vidéo buzz pour voler un Français. 

- Il rigole et prend plaisir à voler et manger la commande des autres.

Hallucinant !

😠 Quand cela https://t.co/dnkZVmdfHr",Wed Sep 11 15:33:05 +0000 2024,950,1507
66,L'information 24/7🇨🇵,"sofia benlemmane insulte la France et les catholiques 

quand passera-t-elle devant la justice ?

Une activiste algérienne (vivant en France..)
insulte la France de pute  car celle-ci a colonisé l'Algérie ! https://t.co/IaxK1m9EC8",Tue Sep 10 06:57:21 +0000 2024,1798,2615
67,Marguerite Stern,"Il existe environ 92 théocraties islamiques dans le monde mais ça n’est apparemment pas suffisant. 
Faut venir coloniser la France et aller coller son front jusque sur les trottoirs de Paris XVe 👍 https://t.co/1DGcDT16Dk",Mon Sep 09 14:10:35 +0000 2024,1235,4539
68,Rayane,Le réal sans Mbappé / le PSG sans Mbappé / la France sans Mbappé  https://t.co/MBjBnkri09,Mon Sep 09 20:35:38 +0000 2024,1111,13611
69,Sarah Knafo,"Michel Barnier dit qu’il veut « réguler les flux migratoires avec humanité », alors que la France entière veut les stopper avec fermeté. 

Il veut créer un ministère de l’Immigration ? On nous a déjà fait le coup ! https://t.co/P4O0IPMgBh",Mon Sep 09 18:20:30 +0000 2024,1437,3699
70,Rafael Sereti,"🔴Lyon, France 🇫🇷
Les futurs ingénieurs et médecins https://t.co/b4SUBgno7r",Mon Sep 09 15:05:58 +0000 2024,1889,7137
71,FranceUnie 🇫🇷,"🔴 Jean-Paul Brighelli : « En classe post-bac, j’étais sidéré de voir des jeunes femmes et jeunes hommes de 18 ans se  séparer, pour éviter de  fréquenter des filles dites ""impures"". C’est le retour du Moyen Âge en France. »
#Cnews #Hdpros https://t.co/PnwpN7LeMd",Thu Sep 12 15:30:15 +0000 2024,1657,3396
72,Thomas Lequertier,Sébastien Delogu n’est pas victime d’un mépris de classe. Il découvre simplement l’effet boomerang 🪃. Il gerbe du matin au soir sa détestation de la France et participe activement à la mise en danger de la communauté juive. Il voulait quoi en retour? De la compassion ?,Tue Sep 10 18:46:21 +0000 2024,1354,6550
73,Naïma M'Faddel,"L’Allemagne constate que Schengen est une passoire , elle décide donc de rétablir ses frontières pour empêcher l’immigration illégale. 
Donc quand c’est l’Allemagne c’est possible… doit on comprendre que l’Allemagne est souveraine par rapport à UE à la différence de la France ?",Mon Sep 09 19:55:17 +0000 2024,501,1076
